Date	Open	High	Low	Close	AvgVol	AdjClose
02-Mar-09	7056.50	7931.30	6470.00	7608.90	4982200.00	7608.90
01-Apr-09	7606.10	8307.50	7483.90	8168.10	3874900.00	8168.10
01-May-09	8167.40	8591.90	8099.30	8500.30	3548100.00	8500.30
01-Jun-09	8501.50	8877.90	8259.40	8447.00	2617000.00	8447.00
01-Jul-09	8447.50	9246.40	8087.20	9171.60	2349000.00	9171.60
03-Aug-09	9173.70	9630.20	9116.50	9496.30	2020800.00	9496.30
01-Sep-09	9492.30	9918.00	9252.90	9712.30	2260400.00	9712.30
01-Oct-09	9711.60	10119.50	9430.10	9712.70	2490500.00	9712.70
02-Nov-09	9712.10	10495.60	9679.00	10344.80	2018500.00	10344.80
01-Dec-09	10343.80	10580.30	10235.60	10428.10	1959900.00	10428.10
04-Jan-10	10430.70	10729.90	10043.80	10067.30	2495500.00	10067.30
01-Feb-10	10069.00	10438.60	9835.10	10325.30	2400900.00	10325.30
01-Mar-10	10326.10	10955.50	10326.10	10856.60	1993700.00	10856.60
01-Apr-10	10857.30	11258.00	10844.10	11008.60	2139300.00	11008.60
03-May-10	11009.60	11177.70	9774.50	10136.60	2924700.00	10136.60
01-Jun-10	10133.90	10594.20	9753.80	9774.00	2353000.00	9774.00
01-Jul-10	9773.30	10585.00	9614.30	10465.90	2119700.00	10465.90
02-Aug-10	10468.80	10719.90	9936.60	10014.70	1987700.00	10014.70
01-Sep-10	10016.00	10948.90	10016.00	10788.10	1895000.00	10788.10
01-Oct-10	10789.70	11247.60	10711.10	11118.50	1893700.00	11118.50
01-Nov-10	11120.30	11451.50	10929.30	11006.00	1924700.00	11006.00
01-Dec-10	11007.20	11625.00	11007.20	11577.50	1521000.00	11577.50
03-Jan-11	11577.40	12020.50	11573.90	11891.90	1944100.00	11891.90
01-Feb-11	11892.50	12391.30	11892.50	12226.30	1800000.00	12226.30
01-Mar-11	12226.50	12383.50	11555.50	12319.70	1755600.00	12319.70
01-Apr-11	12321.00	12832.80	12093.90	12810.50	1849800.00	12810.50
02-May-11	12810.20	12876.00	12309.50	12569.80	1803000.00	12569.80
01-Jun-11	12569.40	12569.50	11862.50	12414.30	1843800.00	12414.30
01-Jul-11	12414.30	12753.90	12083.50	12143.20	1661600.00	12143.20
01-Aug-11	12144.20	12282.40	10604.10	11613.50	2796900.00	11613.50
01-Sep-11	11613.30	11716.80	10597.10	10913.40	2195100.00	10913.40
03-Oct-11	10912.10	12284.30	10404.50	11955.00	1949200.00	11955.00
01-Nov-11	11951.50	12187.50	11231.40	12045.70	1690400.00	12045.70
01-Dec-11	12046.20	12328.50	11735.20	12217.60	1508600.00	12217.60
03-Jan-12	12221.20	12842.00	12221.20	12632.90	1574500.00	12632.90
01-Feb-12	12632.80	13055.80	12632.80	12952.10	1447300.00	12952.10
01-Mar-12	12952.30	13289.10	12734.90	13212.00	1533900.00	13212.00
02-Apr-12	13211.40	13297.10	12710.60	13213.60	1351300.00	13213.60
01-May-12	13214.20	13338.70	12311.60	12393.50	1479600.00	12393.50
01-Jun-12	12391.60	12898.90	12035.10	12880.10	1483400.00	12880.10
02-Jul-12	12879.70	13128.60	12492.30	13008.70	1287600.00	13008.70
01-Aug-12	13007.50	13330.80	12778.90	13090.80	1037800.00	13090.80
04-Sep-12	13092.20	13653.20	12977.10	13437.10	1499000.00	13437.10
01-Oct-12	13437.70	13661.90	13017.40	13096.50	1243200.00	13096.50
01-Nov-12	13099.20	13290.80	12471.50	13025.60	1359500.00	13025.60
3-Dec-12	13027.70	13365.90	12883.90	13104.10	1406200.00	13104.10
